monosaccharide,frequency_pct,pathway_type,key_genes,R2_full,R2_cazyme,R2_noncazyme,delta_R2,MAE_full
Rha,31.2,Locus-encoded biosynthetic,rmlA-D,0.476,-0.029,0.471,0.5,0.195
Fuc,10.6,Locus-encoded biosynthetic,"gmd, fcl",0.335,-0.012,0.304,0.316,0.112
Man,19.4,Locus-encoded biosynthetic,"manA, manB, manC",0.244,0.092,0.254,0.162,0.211
Galf,6.2,Locus-encoded biosynthetic,glf (UGM),0.143,0.075,-0.105,-0.18,0.092
QuiNAc,3.1,Locus-encoded biosynthetic,"wlbA/B/C, fnlA/B/C",0.143,-0.001,0.116,0.116,0.06
GlcNAc,68.1,Central metabolic precursor,"glmU, glmS",0.122,-0.122,0.045,0.167,0.339
FucNAc,5.6,Locus-encoded biosynthetic,"fdtA/B/C, wecB/C",0.119,-0.065,0.093,0.159,0.096
Gal,42.5,Central metabolic precursor,"galE, galU",0.058,-0.008,0.06,0.068,0.419
GalNAc,35.0,Central metabolic precursor,"galE, glmU",0.056,-0.101,0.026,0.127,0.352
GlcA,15.0,Central metabolic precursor,ugd,-0.059,-0.199,-0.08,0.119,0.218
GalA,8.8,Central metabolic precursor,"uxaC, uxaB",-0.079,-0.334,-0.049,0.284,0.153
Glc,39.4,Central metabolic precursor,"pgm, galU",-0.081,-0.104,-0.123,-0.019,0.445
Ribf,3.8,Central metabolic precursor,"ribB, ribE",-0.092,-0.087,-0.15,-0.062,0.077
DGro,3.8,Central metabolic precursor,wb cluster (not well characterized),-0.132,-0.008,-0.124,-0.116,0.078
